word,def
accurate,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct; conforming exactly or almost exactly to fact or to a standard or performing with total accuracy"
adapt,"adapt or conform oneself to new or different conditions; make fit for, or change to suit a new purpose"
adjust,adapt or conform oneself to new or different conditions; place in a line or arrange so as to be parallel or straight; alter or regulate so as to achieve accuracy or conform to a standard; decide how much is to be paid on an insurance claim; make correspondent or conformable
attain,"reach a point in time, or a certain state or level; find unexpectedly; to gain with effort; reach a destination, either real or abstract"
commission,a group of representatives or delegates; an official document issued by a government and conferring on the recipient the rank of an officer in the armed forces; a special group delegated to consider some matter; the act of granting authority to undertake certain functions; the act of committing a crime; a special assignment that is given to a person or group; a formal statement of a command or injunction to do something; a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary); charge with a task; place an order for; put into commission; equip for service; of ships; the state of being in good working order and ready for operation
cooperate,work together on a common enterprise of project
crisis,a crucial stage or turning point in the course of something; an unstable situation of extreme danger or difficulty
crucial,of the greatest importance; of extreme importance; vital to the resolution of a crisis; having crucial relevance
decline,"grow worse; a condition inferior to an earlier condition; a gradual falling off from a better state; go down in value; show unwillingness towards; refuse to accept; a downward slope or bend; a gradual decrease; as of stored charge or current; grow smaller; change toward something smaller or lower; go down; inflect for number, gender, case, etc."
demand,"claim as due or just; required activity; require as useful, just, or proper; a condition requiring relief; an urgent or peremptory request; ask to be informed of; lay legal claim to; request urgently and forcefully; summon to court; the ability and desire to purchase goods and services; the act of demanding"
despite,lack of respect accompanied by a feeling of intense dislike; contemptuous disregard
ensure,be careful or certain to do something; make certain of something; make certain of
evolve,work out; gain through experience; undergo development or evolution
expand,"exaggerate or make bigger; add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing; expand the influence of; extend in one or more directions; grow vigorously; become larger in size or volume or quantity; make bigger or wider in size, volume, or quantity"
facilitate,make easier; be of use; increase the likelihood of (a response)
hamper,prevent the progress or free movement of; a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner); put at a disadvantage; a basket usually with a cover
impair,make imperfect; make worse or less effective
innovate,bring something new to an environment
input,signal going into an electronic system; a statement that expresses a personal opinion or belief or adds information; any stimulating information or event; acts to arouse action; a component of production; something that goes into the production of output; enter (data or a program) into a computer
intermediate,around the middle of a scale of evaluation; act between parties with a view to reconciling differences; a substance formed during a chemical process before the desired product is obtained; lying between two extremes in time or space or state
invest,provide with power and authority; place ceremoniously or formally in an office or position; make an investment; give qualities or abilities to; furnish with power or authority; of kings or emperors
labor,a social class comprising those who do manual labor or work for wages; any piece of work that is undertaken or attempted; the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913; concluding state of pregnancy; from the onset of contractions to the birth of a child; an organized attempt by workers to improve their status by united action (particularly via labor unions) or the leaders of this movement; strive and make an effort to reach a goal; a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries; productive work (especially physical work done for wages); work hard; undergo the efforts of childbirth
output,signal that comes out of an electronic system; what is produced in a given time period; the quantity of something (as a commodity) that is created (usually within a given period of time); final product; the things produced; production of a certain amount; to create or manufacture a specific amount
recover,get or find back; recover the use of; regain or make up for; get over an illness or shock; reuse (materials from waste products); regain a former condition after a financial loss; cover anew
